"colname";"value";"description";"description2"
lum;1;Full Day;
lum;2;Twilight or Dawn;
lum;3;Night without public lighting;
lum;4;Night with public lighting not lit;
lum;5;Night with public lighting on;
agg;1;Rural;
agg;2;Urban or Semi-Urban;
int;1;Out of intersection;
int;2;X Intersection;
int;3;T Intersection;
int;4;Y Intersection;
int;5;"4+ branchs Intersection";
int;6;Roundabout;
int;7;Place;
int;8;Level crossing;
int;9;Other;
atm;-1;Unknown;
atm;1;Normal;
atm;2;Light rain;
atm;3;Heavy rain;
atm;4;Snow - Hail;
atm;5;Fog - Smoke;
atm;6;Strong Wind - Storm;
atm;7;Dazzling weather;
atm;8;Cloudy weather;
atm;9;Other;
col;-1;Unknown;
col;1;"2 vehicles - frontal";
col;2;"2 vehicles - from behind";
col;3;"2 vehicles - from the side";
col;4;"3 or more vehicles - in chain";
col;5;"3 or more vehicles - multple collisions";
col;6;Other;
col;7;No collision;
catr;1;Highway;
catr;2;National Road;
catr;3;Departmental Road;
catr;4;Municipal Road;
catr;5;Off public network;
catr;6;Parking lot;
catr;7;Urban metropolis roads;
catr;9;Other;
circ;-1;Unknown;
circ;1;One-way;
circ;2;Two-ways;
circ;3;Dual Carriageway;
circ;4;With variable assignment ways;
vosp;-1;Unknown;
vosp;0;;
vosp;1;Bike path;
vosp;2;Bike lane;
vosp;3;Reserved lane;
prof;-1;Unknown;
prof;1;Flat;
prof;2;Slope;
prof;3;Slope top;
prof;4;Slope bottom;
plan;-1;Unknown;
plan;1;Straight;
plan;2;Left curve;
plan;3;Right curve;
plan;4;S curve;
surf;-1;Unknown;Other
surf;1;Normal;Normal
surf;2;Wet;Wet
surf;3;Puddle;Other
surf;4;Flooded;Other
surf;5;Snowy;Snowy
surf;6;Muddy;Other
surf;7;Icy;Snowy
surf;8;Oily;Other
surf;9;Other;Other
infra;-1;Unknown;
infra;0;None;
infra;1;Underground - Tunnel;
infra;2;Bridge;
infra;3;Interchange ramp;
infra;4;Railway;
infra;5;Arranged crossroad;
infra;6;Pedestrian area;
infra;7;Toll zone;
infra;8;Roadwork;
infra;9;Other;
situ;-1;Unknown;
situ;0;None;
situ;1;On road;
situ;2;Emergency lane;
situ;3;On road shoulder;
situ;4;On sidewalk;
situ;5;On Bike lane;
situ;6;On special lane;
situ;8;Other;
senc;-1;Unknown;
senc;0;;
senc;1;Increasing Address;
senc;2;Decreasing Address;
senc;3;No identification;
catv;0;Unknown;Other
catv;1;Bicycle;Bicycle
catv;2;Moped;Moped
catv;3;Cart;Car
catv;7;Car;Car
catv;10;Commercial vehicle;Car
catv;13;Truck <= 7.5T;Other
catv;14;Truck > 7.5T;Other
catv;15;Truck + trailer;Other
catv;16;Road tractor;Other
catv;17;Road tractor + semi-trailer;Other
catv;20;Special vehicle;Other
catv;21;Farm tractor;Other
catv;30;Scooter < 50cm3;Moped
catv;31;Motorbike > 50 & < 125cm3 ;Bike
catv;32;Scooter > 50 & < 125cm3;Bike
catv;33;Motorbike > 125cm3 ;Bike
catv;34;Scooter > 125cm3;Bike
